"","X","name","country","exile.starts","exile.ends","PoliticalUpheaval.","Destination1","Destination2","Destination3","Return.","origin_religion","d1_religion","last_destination","d_final_religion","origin_region","d1_region","d_final_region","origin_language","d_final_language","origin_PolV","d1_PolV","d_final_PolV"
"1",148,"´ Erno Ger ’o","Hungary",1956,"1960","popular uprising","Russia",,,"No","Christians","Christians","Russia","Christians","Europe","Europe","Europe","Hungarian","Russian",-7,-7,-7
"2",177,"Abdal´a Bucaram Ortiz","Ecuador",1997,"2010","other","Panama",,,"Yes, politician but non president","Christians","Christians","Panama","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",9,9,9
"3",1,"Abdallah","Comoros",1975,"1978","coup","France",,,"","Muslims","Christians","France","Christians","Sub-Saharan Africa","Europe","Europe","Arabic","French",-5,9,9
"4",4,"Abdul Rahman al-Iryani","Yemen",1974,"1998","coup","Syria",,,"","Muslims","Muslims","Syria","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",-7,-9,-9
"5",111,"Abdul Rahman Arif","Iraq",1968,"1979","coup","Turkey",,,"Yes civil","Muslims","Muslims","Turkey","Muslims","Middle East-North Africa","Asia-Pacific","Asia-Pacific","Arabic","Turkish",-7,8,8
"6",187,"Abdullah al-Sallal","Yemen",1967,"1981","coup","Iraq",,,"No","Muslims","Muslims","Iraq","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",-5,-5,-5
"7",178,"Adib Shishakli","Syria",1954,"1964","coup","Lebanon","Brazil",,"No","Muslims","Muslims","Brazil","Christians","Middle East-North Africa","Middle East-North Africa","Latin America-Caribbean","Arabic","Portuguese",4,1,5
"8",59,"Adolfo A. Majano Ramos","El Salvador",1980,"2010","other","United States","Canada","Mexico","","Christians","Christians","Mexico","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","Spanish","Spanish",0,10,-3
"9",171,"Adolfo D´ıaz","Nicaragua",1936,"1964","other","United States",,,"Yes, president","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-8,9,9
"10",50,"Ahmad Tejan Kabbah","Sierra Leone",1997,"1998","coup","Guinea",,,"","Muslims","Muslims","Guinea","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","English","French",0,-1,-1
"11",144,"Ahmadou Ahidjo","Cameroon",1983,"1989","Other","France","Senegal",,"No","Christians","Christians","Senegal","Muslims","Sub-Saharan Africa","Europe","Sub-Saharan Africa","French","French",-7,9,-1
"12",2,"Ahmed Ath-Thani","Qatar",1972,"1977","other","United Arab Emirates",,,"","Muslims","Muslims","United Arab Emirates","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",-10,-8,-8
"13",114,"Ahmet Zogu","Albania",1939,"1961","coup","Greece","France","United Kingdom","No","Muslims","Christians","United Kingdom","Christians","Europe","Europe","Europe","Albanian","English",0,-8,10
"14",36,"Alberto Fujimori","Peru",2000,"2007","popular uprising","Japan","Chile",,"","Christians","Buddhists","Chile","Christians","Latin America-Caribbean","Asia-Pacific","Latin America-Caribbean","Spanish","Spanish",4,10,9
"15",191,"Alfonso Portillo Cabrera","Guatemala",2004,"2008","other","Mexico","United States",,"No","Christians","Christians","United States","Christians","Latin America-Caribbean","Latin America-Caribbean","North America","Spanish","English",8,8,10
"16",79,"Alfredo Ovando Cand´ıa","Bolivia",1970,"1978","coup","Argentina",,,"","Christians","Christians","Argentina","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-5,-9,-9
"17",93,"Alfredo Stroessner","Paraguay",1989,"2006","coup","Brazil",,,"","Christians","Christians","Brazil","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Portuguese",2,8,8
"18",5,"Ali Nasir Muhammad Husani","Yemen",1986,"1990","coup","Yemen","Syria",,"","Muslims","Muslims","Syria","Muslims","Middle East-North Africa","Middle East-North Africa","Middle East-North Africa","Arabic","Arabic",-7,-7,-9
"19",6,"Amadou Toure","Mali",2012,"2017","coup","Senegal",,,"","Muslims","Muslims","Senegal","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","French",0,7,7
"20",109,"Amanullah Khan","Afghanistan",1929,"1960","rebellion","India","Italy",,"Yes","Muslims","Hindus","Italy","Christians","Asia-Pacific","Asia-Pacific","Europe","Persian","Italian",-6,,-9
"21",8,"Anastasio Somoza","Nicaragua",1979,"1980","rebellion","United States","Bahamas","Guatemala","","Christians","Christians","Guatemala","Christians","Latin America-Caribbean","North America","Latin America-Caribbean","Spanish","Spanish",-3,10,-5
"22",21,"Ange-F´elix Patass´e","Central African Republic",2003,"2008","other","Ivory Coast","France",,"","Christians","Muslims","France","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","French","French",-1,0,10
"23",167,"Arnulfo Arias","Panama",1968,"1976","coup","Argentina","United States","Venezuela","Yes, president","Christians","Christians","Venezuela","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-7,-9,7
"24",145,"Arturo Armando Molina","El Salvador",1977,"2010","popular uprising","United States",,,"No","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-6,10,10
"25",3,"Askar Akayev","Kyrgyzstan",2005,"2010","popular uprising","Kazakhstan","Russia",,"","Muslims","Muslims","Russia","Christians","Asia-Pacific","Asia-Pacific","Europe","Russian","Russian",3,-6,6
"26",71,"Ayaz Mutallibov","Azerbaijan",1992,"2010","popular uprising","Russia",,,"","Muslims","Christians","Russia","Christians","Asia-Pacific","Europe","Europe","Azerbaijani","Russian",1,5,5
"27",51,"Babrak Karmal","Afghanistan",1986,"1991","other","Russia",,,"","Muslims","Christians","Russia","Christians","Asia-Pacific","Europe","Europe","Persian","Russian",-8,-7,-7
"28",17,"Bob Denard","Comoros",1995,"2007","other","South Africa","France",,"","Muslims","Christians","France","Christians","Sub-Saharan Africa","Sub-Saharan Africa","Europe","Arabic","French",0,9,10
"29",20,"Bob Denard","Comoros",1989,"1995","other","France",,,"","Muslims","Christians","France","Christians","Sub-Saharan Africa","Europe","Europe","Arabic","French",-9,10,10
"30",24,"Cabral","Guinea-Bissau",1981,"1999","coup","Cuba","Cape Verde","Portugal","","Muslims","Christians","Portugal","Christians","Sub-Saharan Africa","Latin America-Caribbean","Europe","Portuguese","Portuguese",-9,-7,9
"31",26,"Campaore","Burkina Faso",2014,"2020","popular uprising","Ivory Coast",,,"","Muslims","Muslims","Ivory Coast","Muslims","Sub-Saharan Africa","Sub-Saharan Africa","Sub-Saharan Africa","French","French",0,4,4
"32",131,"Carlos Arroyo del R´ıo","Ecuador",1944,"1948","coup","Colombia","United States",,"Yes civil","Christians","Christians","United States","Christians","Latin America-Caribbean","Latin America-Caribbean","North America","Spanish","English",-1,5,9
"33",152,"Carlos D´avila","Chile",1932,"1955","other","United States",,,"Yes, politician but non president","Christians","Christians","United States","Christians","Latin America-Caribbean","North America","North America","Spanish","English",-2,9,9
"34",84,"Carlos H. Romero Mena","El Salvador",1979,"1992","coup","Guatemala",,,"","Christians","Christians","Guatemala","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",0,-5,-5
"35",174,"Carlos J. Arosemena Monroy","Ecuador",1963,"1966","coup","Panama",,,"Yes, politician but non president","Christians","Christians","Panama","Christians","Latin America-Caribbean","Latin America-Caribbean","Latin America-Caribbean","Spanish","Spanish",-6,4,4
"36",168,"Carlos Salinas de Gortari","Mexico",1994,"2010","other","Ireland","United States",,"Yes civil","Christians","Christians","United States","Christians","Latin America-Caribbean","Europe","North America","Spanish","English",4,10,10
"37",208,"Carol II","Romania",1940,"1953","other","United Kingdom","France","Portugal","Yes, president","Christians","Christians","Portugal","Christians","Europe","Europe","Europe","Romanian","Portuguese",-7,10,-9
